part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
GRM32EC81A476KE19,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,105,X6S,3225M/1210,2.7,±10%,General Purpose,,[n],[s],[t]
GRT32EC81C476ME13,IE|AIC|MeI,In Production,47000000,16,-,105,X6S,3225M/1210,2.7,±20%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GRM32EC81C476KE15,CE|IE|AIC|MeI|ME,In Production,47000000,16,-,105,X6S,3225M/1210,2.7,±10%,General Purpose,derating1,[n],[s],[t]
GRT32EC81C476KE13,IE|AIC|MeI,In Production,47000000,16,-,105,X6S,3225M/1210,2.7,±10%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GXT32EC81C476KE13,IE|AIC|MeI,In Production,47000000,16,-,105,X6S,3225M/1210,2.7,±10%,Water repellent/ Infotainment [AEC-Q200],derating1,[n],[s],[t]
GRM32EC81C476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,16,-,105,X6S,3225M/1210,2.7,±20%,General Purpose,derating1,[n],[s],[t]
GRM219D80E476ME44,CE|IE|AIC|MeI|ME,In Production,47000000,2.5,-,105,X6T,2012M/0805,0.95,±20%,General Purpose,,[n],[s],[t]
GRM31CD80G476ME19,CE|IE|AIC|MeI|ME,In Production,47000000,4,-,105,X6T,3216M/1206,1.8,±20%,General Purpose,,[n],[s],[t]
GCH32ER70J476KE01,MI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Implantable medical device,,[n],[s],[t]
GRM32ER70J476KE20,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,General Purpose,,[n],[s],[t]
GGM32ER70J476KE19,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Water repellent/ Automotive [AEC-Q200],,[n],[s],[t]
GRT32ER70J476KE13,IE|AIC|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Infotainment for Automotive [AEC-Q200],derating1,[n],[s],[t]
GCM32ER70J476ME19,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±20%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GCJ32ER70J476KE01,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.8,±10%,Resin external electrode for Powertrain/safety for Automotive [AEC-Q200],,[n],[s],[t]
GCJ32ER70J476ME01,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.8,±20%,Resin external electrode for Powertrain/safety for Automotive [AEC-Q200],,[n],[s],[t]
GRM32ER70J476ME20,CE|IE|AIC|MeI|ME,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
